selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,model_id,assigned_voice_id,assigned_speaker_id,assigned_emotion_id,terminal_state,actual_voice_id,actual_speaker_id,actual_emotion_id,actual_seed,generation_attempts,retry_errors,raw_relative_path,raw_audio_sha256,duration_s,original_sr,device,error
1,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_09_026,v4:kk:Train/radio/01_09_026,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:low:low,,,succeeded,female:low:low,,,1806228205,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/02/02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1.wav,f14606bf6cc5a28e8da504e7efe6f34fbd25dcb701967429761a10122cccf268,4.36,16000,local_cuda_sparktts_controlled_bicodec,
5,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_02_074,v4:kk:Train/parliament/senate_02_074,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:low:high,,,succeeded,female:low:high,,,1758591046,4,"[""Spark-TTS generated no global tokens."", ""Spark-TTS generated no global tokens."", ""Spark-TTS generated no global tokens.""]",raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/fa/fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43.wav,6936ca3d4e937c1c8a21e2946c5b61c1a14939ec3b101bf15a07ca2f7cd40d89,12.4,16000,local_cuda_sparktts_controlled_bicodec,
9,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_23_320,v4:kk:Train/talkshow/01_23_320,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:moderate:low,,,succeeded,female:moderate:low,,,1651077379,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/16/16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166.wav,aa83acba97c2044ee73e7671f2ec7002903bf3da96232e34c8b74c33aaba5f0e,7.44,16000,local_cuda_sparktts_controlled_bicodec,
13,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_06_123,v4:kk:Train/talkshow/01_06_123,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:moderate:high,,,succeeded,female:moderate:high,,,402463430,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/ee/eef672432682b5bbd1ce59d1b90f3acdd008bd50ff5607c822e276b542a3c402.wav,a94fd3bb9e51ac4f8fa59aec06a9c647316cc7227a678dd044923be4d8b178e8,2.98,16000,local_cuda_sparktts_controlled_bicodec,
17,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/01_01_433,v4:kk:Train/podcasts/01_01_433,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:high:low,,,succeeded,female:high:low,,,1169858873,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/40/40ea052d783c20a4568e2df47e9f647ea6d3a609149d0493a7fbe7cfed03ab02.wav,8741f876800f07bd1a985f6b53d1e2c74673eee4d23bb44866dcf13e19fd144d,11.24,16000,local_cuda_sparktts_controlled_bicodec,
21,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_11_114,v4:kk:Train/parliament/senate_11_114,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,female:high:high,,,succeeded,female:high:high,,,1835876068,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/e5/e5f105de44f471248372b791237ce95762345f01b5a958ca8eacd48190335ba5.wav,22c6e99b9b076e9486024d7fa8bc4492783d9da81b026717eb65320d35341bd5,2.36,16000,local_cuda_sparktts_controlled_bicodec,
25,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_12_325,v4:kk:Train/talkshow/01_12_325,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,male:low:low,,,succeeded,male:low:low,,,159055609,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/3e/3ebe058d121e54ea452176d0a0b143bdf2f86b1df8a7e570ea962e7d30c212ab.wav,7f2ff028a99d63991f479d8f186bd2ad4192c76edc1aadcf189d11d674a0d3fc,11.82,16000,local_cuda_sparktts_controlled_bicodec,
29,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/08_08_034,v4:kk:Train/podcasts/08_08_034,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,male:low:high,,,succeeded,male:low:high,,,575447460,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/83/83e6e777a0a6bcb67028c3aed5196d25f6cf33c815b51f623c9693eb6080abb5.wav,4f47548885822242de4e275fc5cacd6adedb344033dad9ee443aa903c96ec086,4.12,16000,local_cuda_sparktts_controlled_bicodec,
33,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_24_266,v4:kk:Train/talkshow/01_24_266,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,male:moderate:low,,,succeeded,male:moderate:low,,,1772995187,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/ab/ab477c3eb889424eee5bda35287b29cbc0906e651fbdf94e9f72ae68b3540513.wav,245d9ea8dfe026350a08dd6fcd7c097457a1dd591779f6e0b150d46671220f5a,8.72,16000,local_cuda_sparktts_controlled_bicodec,
37,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_78_055,v4:kk:Train/talkshow/01_78_055,kk-sparktts-v1,llm_bicodec_controlled_tts,sparktts_kazakh_controlled,male:moderate:high,,,succeeded,male:moderate:high,,,1144866888,2,"[""Spark-TTS generated no global tokens.""]",raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-sparktts-v1/60/608676f8f5b4e4d212578d904367cf1d9c63aa72b4d38a37f893c162dd4ae1ef.wav,b53c3be99373faded61658559ca5a26b4323bc89341f98ea823741603801ef54,2.14,16000,local_cuda_sparktts_controlled_bicodec,
