selection_rank,sample_id,pair_key,language,label,raw_relative_path,raw_audio_sha256,decoded_relative_path,decoded_audio_sha256,duration_s,peak,rms_dbfs,clipped_fraction,dc_offset,speech_seconds,speech_segment_count,audio_fingerprint_v1,preparation_status,eligibility_status,rejection_reason,historical_raw_exact_match_count,historical_decoded_exact_match_count,historical_near_match_count,within_pool_near_match_count
2,common_voice_ru_v24:common_voice_ru_19057249,ru:002:f33e675917075623564484c2109aefae8c5469aa509079b1390823682c4cdbbe,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_19057249.mp3,edfe09685d35e87fed8294a7a4849eb038da6a0ba9dd7fa59dbdd77c520590a1,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/ed/edfe09685d35e87fed8294a7a4849eb038da6a0ba9dd7fa59dbdd77c520590a1.wav,5fbf04881d71356c60317c5137df3a25c0a8ee6ebca8485b82c523235df8d311,5.496,0.81756591796875,-20.059921467559427,0.0,-4.1015283509633426e-05,4.62,1,7fff6fef89c3043ffff8f7d300018042be3c7f37fbfc002fd01cf88007c00000,ready,eligible,,0,0,0,0
3,common_voice_ru_v24:common_voice_ru_37949828,ru:003:8ee44ab2f66fb8e8d12856ececb67501044998b8efeec898e88a01b09af5ca6b,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_37949828.mp3,31bca3e3cae6b7d2a5d915cb40100b5413750906424b1b8bb9224aab93b4e873,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/31/31bca3e3cae6b7d2a5d915cb40100b5413750906424b1b8bb9224aab93b4e873.wav,91069287d744bc3aae9f8d39fa204f7093cc6428b534cb2b8c382c4117df8bd1,5.76,0.4381103515625,-29.268674968571613,0.0,-3.100501166449653e-05,4.71,1,0000c3c3ffffffd8143fe3ef081f3c1ffff0fff60060fff1000c0007ffa80000,ready,eligible,,0,0,0,0
4,common_voice_ru_v24:common_voice_ru_20111061,ru:004:b52d47c722cb1fc965d03feb0359ba1ea720a6dcf9205b6eaeba64de1ba5ba85,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20111061.mp3,310174f97796906c9f9809af4c2e77bbed3a56640764b43047ae41737c89a400,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/31/310174f97796906c9f9809af4c2e77bbed3a56640764b43047ae41737c89a400.wav,aa67610aa9dc861801fbb66d30508fb61ea0449d698cc6fcf922470d9ab0b317,5.184,0.729156494140625,-23.71657334654499,0.0,6.616925015861605e-05,3.66,2,fffcfddf04420003fffeffde1fe3fff0ffbdf83d003f000003cfe22000000001,ready,eligible,,0,0,0,0
5,common_voice_ru_v24:common_voice_ru_32700944,ru:005:9cca30af544691548e11bdfd0eae8ef3e6b6fa1751f5d773d7db58993194c5e7,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_32700944.mp3,82d6d3c165d0e5d2dbd1f785f87b9eee71a012eebd5c896ce609860048db968c,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/82/82d6d3c165d0e5d2dbd1f785f87b9eee71a012eebd5c896ce609860048db968c.wav,86b1f9a6d5231282e12ea55622e643db8841304b29a8c357be2042bc3af116f3,4.788,0.770599365234375,-19.845743105084534,0.0,-1.8547650865444861e-06,3.87,1,000000007f3cfe9fc07f81c07f0035c77fbf9c1b83f86800efe7ffff92ff0060,ready,eligible,,0,0,0,0
6,common_voice_ru_v24:common_voice_ru_30387521,ru:006:4bb13f4d7a5fa5abe3c5ad239850ca4d1ac0a43b1abb520722c38d2924d86957,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_30387521.mp3,66f202800b76441ee0d7ea6b9432325bd08f10607668ce3acb11613cbb751d13,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/66/66f202800b76441ee0d7ea6b9432325bd08f10607668ce3acb11613cbb751d13.wav,8d0f0511b8b4c3ab6ee8e5d0f34d5697ff03a0449998b6bcad24d6b70cf81008,7.524,0.066741943359375,-43.281593240629476,0.0,-1.2910854049593385e-06,4.53,5,67ffe800201f03ff4fe0102fffc800009810d7f0ffff0007fe38fdffbfc70000,ready,eligible,,0,0,0,0
7,common_voice_ru_v24:common_voice_ru_22923033,ru:007:953b17e343567c4598e438d7cad2c3a08dc19549ce597509964cd45883660d50,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_22923033.mp3,54cbd7fcb405fbf312e288cf9bad56cb508e2c21c10eca3e94bdebed44f0bdc6,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/54/54cbd7fcb405fbf312e288cf9bad56cb508e2c21c10eca3e94bdebed44f0bdc6.wav,1ca2f2d50a9b0d1dd347b2e767c62f3be289d72f0b5165e53ed8b3703439b154,4.104,0.827362060546875,-18.96035064580559,0.0,1.8636617976554887e-05,2.1,1,03fec7ef7fd0c000fffefff783ffcc7fbe3fbf813de17000000f781800000000,insufficient_speech,rejected,insufficient_speech,0,0,0,0
8,common_voice_ru_v24:common_voice_ru_20176743,ru:008:97ca7266394fe0bea3bccb5fcb026c8eb197bde8b9eaea72b4856d141fe9d681,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20176743.mp3,451e32c62c4ba1f2ab1f2ec296dd436ace2aa18a13b49589a5f325d04804e8d0,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/45/451e32c62c4ba1f2ab1f2ec296dd436ace2aa18a13b49589a5f325d04804e8d0.wav,ff73ab15c2e7b0eab70b8a41de8ad8acd5e94b1a5c56e975614b2cf46600dcc6,8.544,0.834320068359375,-18.693388944942694,0.0,-8.189946078182607e-06,7.98,1,0000c000efcfbc00dfff3e705fff37c3007eefb8f93d0187c000feff301f03e0,ready,eligible,,0,0,0,0
9,common_voice_ru_v24:common_voice_ru_26887644,ru:009:c39d6f1bf6cdf95d6494fc024a98a66dd38cf17d7eecc0c7c1fb319d9118012c,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_26887644.mp3,d946530a9da23488b759691a38bbc7458c88813e993d8b3a4f5e7a3bff16f49c,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/d9/d946530a9da23488b759691a38bbc7458c88813e993d8b3a4f5e7a3bff16f49c.wav,a908779e2190267bb5b24757c134e2c563b947ef90fc98c1025c522e2daf1fc7,5.76,0.72833251953125,-22.825256268329994,0.0,-3.428094916873508e-05,5.25,2,00000000fffe000f7ffffffffe2ff83007f7fff000198427e9dfffc813c00000,ready,eligible,,0,0,0,0
10,common_voice_ru_v24:common_voice_ru_20559328,ru:010:70dc6fda9f4d5dbffe51bf3e69b8f669d50a6071eb6ed91e22843d829f51ad94,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_20559328.mp3,42564794b84723ab3e521ed8e1eef336ee6986aee177d50ea4c8ad4732e60729,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/42/42564794b84723ab3e521ed8e1eef336ee6986aee177d50ea4c8ad4732e60729.wav,0ce4bf97e5165c826bdce3aad7e989cf164087217d28add077d2a3d508f662de,4.752,0.592376708984375,-23.400221957121072,0.0,7.247403013184416e-05,3.27,1,000000007fcffcde0000ffff373cec3cdaf300243ffdffd3d383017fefeb8000,ready,eligible,,0,0,0,0
11,common_voice_ru_v24:common_voice_ru_34969206,ru:011:fa4a1abd9daefdd91535411aa7aed1e4f711edcfe1fbe13537cad6628f6fbd53,ru,bonafide,raw/v4/xlsr_sls_model_v4_final_recovery_materialization_v1/ru_source/clips/common_voice_ru_34969206.mp3,8663459ac316e67ddecb4dbc9b26644153cb991f3ade727daccac6f2c66e5080,processed/v4/xlsr_sls_model_v4_final_salvage_materialization_v1/ru_source/86/8663459ac316e67ddecb4dbc9b26644153cb991f3ade727daccac6f2c66e5080.wav,f76e18aa6e6921a80fd00842cf7d5e1c98ff0a051fbbebf64ede06593800f784,4.428,0.676910400390625,-21.455278962798594,0.0,-6.661462482290432e-05,4.398,1,000000000050ffffffffffffffffffffffffffffffaf00000000000000000000,ready,eligible,,0,0,0,0
