selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,model_id,assigned_voice_id,assigned_speaker_id,assigned_emotion_id,terminal_state,actual_voice_id,actual_speaker_id,actual_emotion_id,actual_seed,generation_attempts,retry_errors,raw_relative_path,raw_audio_sha256,duration_s,original_sr,device,error
3,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_15_179,v4:kk:Train/parliament/senate_15_179,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1003329744,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/e9/e9f99bab924a61abfe0d9377e4e85a1f995906d154fd9ce035945e2b3101d0bf.wav,44647c246abac269c34d47abf8bae7498a50179e4ad00ab863518eef1d7d606e,17.28,16000,local_cuda_mms,
7,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/04_07_607,v4:kk:Train/podcasts/04_07_607,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1630578188,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/18/1851275b5ce3ef3064767d4e170d8a2ad2399714ad8e280ad711795cf7efbf68.wav,2aefb637319cffae7f966e72dc08706c00f9560502df581a0c8e203c69998701,8.48,16000,local_cuda_mms,
11,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_53_106,v4:kk:Train/radio/01_53_106,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,388040359,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/c7/c7ff69c52487a2fa9a1f89c899ccec4ff265cef1a182d2f8fae1485cf0e2f302.wav,081e52a62e1cee7cdc845081d2b6ac4fdada2452ee9ad6aca3fd687992542721,2.544,16000,local_cuda_mms,
15,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a620d7c82,v4:kk:Train/tv_news/5fe2a620d7c82,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1696397460,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/9a/9a521bf336fe16eea2d6ace9e87968f4eb03c545fd8306239b67236d89f90cd0.wav,ec99aef35c6602f2faf588bcfcf07523113239e497675778556fa465d05380a8,4.096,16000,local_cuda_mms,
19,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_04_025,v4:kk:Train/talkshow/01_04_025,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1762325310,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/a8/a80ff4e4bdca68a3dfa96339c1a91d0ade37c9ba3211ace24a1ee4108f47d107.wav,f5e9b21a54333aa2e88d133421a6adb230e8bbd07a1aaa1f2781cce6eb7a234d,6.912,16000,local_cuda_mms,
23,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_24_460,v4:kk:Train/parliament/mazhilis_24_460,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,440182323,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/0a/0a4dcc1f01c8bb7ec7267b1e6bdb215ef7e474524d0c1d8c469a864e1cacd3e6.wav,d3ace05965d2fc5c86921e7d94b32529b71b92ce86b74e18640969cdc2a939c2,15.056,16000,local_cuda_mms,
27,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/04_03_340,v4:kk:Train/podcasts/04_03_340,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1663302477,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/57/57bf8f1bf47f329ffa3c9fb5ee6f9901480992136eee24d8fbf0d181bbce9022.wav,514687b96ea79dddffc556651489b126e63d9628b3bb37ca22f0f3af1e6d0250,13.792,16000,local_cuda_mms,
31,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5f71cef9ca785,v4:kk:Train/tv_news/5f71cef9ca785,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,84594983,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/46/46f6cd98785493491f2f7d7f5defd4903a2ebe773d6b4769993b7247a8c4c08b.wav,5e22f1eef81b2350d047005a4ae41feef284bb758ce1c79ff3eca0856171e4f4,4.752,16000,local_cuda_mms,
35,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_53_536,v4:kk:Train/radio/01_53_536,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1562570800,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/7a/7a25f6288a2730212e42989b906a751023bba8e70b333f5a1c7c6bd23a283bc1.wav,9fbba6147ea80a74a50916404a37026d0d113d633724a78760f93fba32a16a90,1.792,16000,local_cuda_mms,
39,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_81_317,v4:kk:Train/talkshow/01_81_317,kk-mms-kaz-v1,mms_vits_tts,mms_tts_kaz,mms_tts_kaz_default,,,succeeded,mms_tts_kaz_default,,,1717341593,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-mms-kaz-v1/fb/fb948bbae2943060aa271f0ef9e35bb2cb92e2d930d96a2b7e59e6a8e7fb4f0b.wav,5fab64bcf0c90293a4dfbf72c556701ec0edcc7a4ad71799680f4c754b728f99,10.096,16000,local_cuda_mms,
