selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,source_component,archive_transcript_member,transcript_relative_path,transcript_file_sha256,transcript_size_bytes,text_hash,canonical_text_hash,normalized_utf8_bytes,normalized_characters,status
1,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_09_026,v4:kk:Train/radio/01_09_026,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/radio,ISSAI_KSC2/Train/radio/01_09_026.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/radio/01_09_026.txt,02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1,87,02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1,02e898bdbf7587fedfc8563e211498b6914cb990c4d1abb73f2cc63370bb90f1,87,47,verified_for_synthesis
2,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_32_567,v4:kk:Train/talkshow/01_32_567,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_32_567.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_32_567.txt,76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180,131,76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180,76d1ba226c0a8361554954a197330a91406bd79f71d54d74906ab88ed5678180,131,70,verified_for_synthesis
3,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_15_179,v4:kk:Train/parliament/senate_15_179,kk-mms-kaz-v1,mms_vits_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_15_179.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_15_179.txt,e9f99bab924a61abfe0d9377e4e85a1f995906d154fd9ce035945e2b3101d0bf,370,e9f99bab924a61abfe0d9377e4e85a1f995906d154fd9ce035945e2b3101d0bf,e9f99bab924a61abfe0d9377e4e85a1f995906d154fd9ce035945e2b3101d0bf,370,200,verified_for_synthesis
4,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a6f316cff,v4:kk:Train/tv_news/5fe2a6f316cff,kk-piper-issai-high-v1,piper_neural_tts,Train/tv_news,ISSAI_KSC2/Train/tv_news/5fe2a6f316cff.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/tv_news/5fe2a6f316cff.txt,94965d5e61463cc52ef5ebfc12aa3325878172112382c5fc9cafe013335def7a,121,94965d5e61463cc52ef5ebfc12aa3325878172112382c5fc9cafe013335def7a,94965d5e61463cc52ef5ebfc12aa3325878172112382c5fc9cafe013335def7a,121,65,verified_for_synthesis
5,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_02_074,v4:kk:Train/parliament/senate_02_074,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_02_074.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_02_074.txt,fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43,322,fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43,fae7d2a895090c0f63d0d37a9363e7fa920930bb1bcc310ea8bf337694db8d43,322,171,verified_for_synthesis
6,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_13_178,v4:kk:Train/parliament/senate_13_178,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_13_178.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_13_178.txt,0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792,209,0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792,0b88ada1494b08b9ec35dea2fa6ac8132e19ea8ed505f40c1fffb75271ad9792,209,112,verified_for_synthesis
7,target,xlsr_sls_model_v4_kk_spoof:Train/podcasts/04_07_607,v4:kk:Train/podcasts/04_07_607,kk-mms-kaz-v1,mms_vits_tts,Train/podcasts,ISSAI_KSC2/Train/podcasts/04_07_607.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/podcasts/04_07_607.txt,1851275b5ce3ef3064767d4e170d8a2ad2399714ad8e280ad711795cf7efbf68,150,1851275b5ce3ef3064767d4e170d8a2ad2399714ad8e280ad711795cf7efbf68,1851275b5ce3ef3064767d4e170d8a2ad2399714ad8e280ad711795cf7efbf68,150,81,verified_for_synthesis
8,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_03_117,v4:kk:Train/talkshow/01_03_117,kk-piper-issai-high-v1,piper_neural_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_03_117.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_03_117.txt,fdd57611fc82e8f1f0769e5dcf6155c0e2bdcd1f6b1d85ef8e1ebeb3aa99a56a,258,fdd57611fc82e8f1f0769e5dcf6155c0e2bdcd1f6b1d85ef8e1ebeb3aa99a56a,fdd57611fc82e8f1f0769e5dcf6155c0e2bdcd1f6b1d85ef8e1ebeb3aa99a56a,258,139,verified_for_synthesis
9,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_23_320,v4:kk:Train/talkshow/01_23_320,kk-sparktts-v1,llm_bicodec_controlled_tts,Train/talkshow,ISSAI_KSC2/Train/talkshow/01_23_320.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/talkshow/01_23_320.txt,16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166,179,16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166,16241baf34bc9d96233ee33a313d8b68150c450485aae382ede5d235453f1166,179,96,verified_for_synthesis
10,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_06_046,v4:kk:Train/parliament/senate_06_046,kk-kazemotts-v1,gradtts_hifigan_emotional_tts,Train/parliament,ISSAI_KSC2/Train/parliament/senate_06_046.txt,raw/v4/xlsr_sls_model_v4_kk_spoof_texts_v1/Train/parliament/senate_06_046.txt,ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf,307,ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf,ddb49c92e25a529cc7c93910511e39dff6e3e805675d1caa0dfcfadba86402bf,307,163,verified_for_synthesis
