selection_rank,target_state,candidate_id,pair_id,generator_route_id,generator_family,model_id,assigned_voice_id,assigned_speaker_id,assigned_emotion_id,terminal_state,actual_voice_id,actual_speaker_id,actual_emotion_id,actual_seed,generation_attempts,retry_errors,raw_relative_path,raw_audio_sha256,duration_s,original_sr,device,error
4,target,xlsr_sls_model_v4_kk_spoof:Train/tv_news/5fe2a6f316cff,v4:kk:Train/tv_news/5fe2a6f316cff,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_M2,,,succeeded,ISSAI_KazakhTTS2_M2,,,743628347,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/94/94965d5e61463cc52ef5ebfc12aa3325878172112382c5fc9cafe013335def7a.wav,e6fe1c2499e70169dabf74f7bd7b7f52c0e39625fb3a0e30407a468bed32647b,4.133151927437642,22050,local_cpu_piper,
8,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_03_117,v4:kk:Train/talkshow/01_03_117,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS_M1_Iseke,1,,succeeded,ISSAI_KazakhTTS_M1_Iseke,1,,1872061089,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/fd/fdd57611fc82e8f1f0769e5dcf6155c0e2bdcd1f6b1d85ef8e1ebeb3aa99a56a.wav,02fca0e30c7675d15bef1b262672a349d041ffa310c3f69fbdfe94fee2fabb9b,10.24,22050,local_cpu_piper,
12,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_55_261,v4:kk:Train/radio/01_55_261,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_F3,2,,succeeded,ISSAI_KazakhTTS2_F3,2,,1175463924,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/08/08a438a039c2bfa9962adea4a2020b8689c12a9b2ab57b52d7cbb467204fa26c.wav,302a843dfd5db200f0ffa9fa115e03f977bf6f2d925f83fd99814de1d96860d2,1.172607709750567,22050,local_cpu_piper,
16,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_20_355,v4:kk:Train/parliament/mazhilis_20_355,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS_F1_Raya,3,,succeeded,ISSAI_KazakhTTS_F1_Raya,3,,1483782515,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/db/db931b09375c2548dcf282ef969d197ac2bcbdd1a83a06f51c99968a6d81e292.wav,64d9b09e13b4ff6b443ba51e94742fc56218b21e19162a9ebb016431fe870a47,4.748480725623582,22050,local_cpu_piper,
20,target,xlsr_sls_model_v4_kk_spoof:Train/talkshow/01_05_360,v4:kk:Train/talkshow/01_05_360,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_F1,4,,succeeded,ISSAI_KazakhTTS2_F1,4,,308427311,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/78/78827aa18009ff8e87ea5703c48bf4945e38806b2db1fefb2c7c77672ffb3a8f.wav,a87318b26ac9d4928e99de6c2af4e50be85c16158cc169e953e5ca95414eaa88,6.942766439909297,22050,local_cpu_piper,
24,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/senate_10_314,v4:kk:Train/parliament/senate_10_314,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_F2,5,,succeeded,ISSAI_KazakhTTS2_F2,5,,235550087,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/8a/8a5c5edac21c7f594b74b8c6020f8d5ef218ed8ce8384f03f2d309705774f1a4.wav,8e8bd5494d1777e636c440501dbcbb9762b84cb94c209fa56b64776155ac22cb,6.594467120181406,22050,local_cpu_piper,
28,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_03_809,v4:kk:Train/parliament/mazhilis_03_809,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_M2,,,succeeded,ISSAI_KazakhTTS2_M2,,,1771953399,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/22/22d10094229c3dacae0f665ff8a9e51474883330137b00963c6a43f862ede08c.wav,f3f92d8415b7aa9982cc39e1a709d5e54accdb2d0bdc41d377a235e8066dd327,2.9837641723356008,22050,local_cpu_piper,
32,target,xlsr_sls_model_v4_kk_spoof:Train/parliament/mazhilis_27_538,v4:kk:Train/parliament/mazhilis_27_538,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS_M1_Iseke,1,,succeeded,ISSAI_KazakhTTS_M1_Iseke,1,,85483767,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/91/917a1a9368d060aa17a64283fad0938537f357c21713b1c3bf7cd3a80dc4dde8.wav,d8cb53cebd765318bb21f1c6aa9dfdfb194a10430d951591d03ef244584bdd9e,9.961360544217687,22050,local_cpu_piper,
36,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_52_130,v4:kk:Train/radio/01_52_130,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS2_F3,2,,succeeded,ISSAI_KazakhTTS2_F3,2,,428535876,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/d2/d295bd245a6e6cbe2273ef23cf48f03fbd7af94e1de2b67d6a27fee73fc02dcd.wav,222fe54a13f540e800dc2a48afbd9f6eda85ae6677ad75789734fac3bbb6aec1,5.7817687074829935,22050,local_cpu_piper,
40,target,xlsr_sls_model_v4_kk_spoof:Train/radio/01_83_384,v4:kk:Train/radio/01_83_384,kk-piper-issai-high-v1,piper_neural_tts,piper_kk_issai_high,ISSAI_KazakhTTS_F1_Raya,3,,succeeded,ISSAI_KazakhTTS_F1_Raya,3,,1158361477,1,[],raw/v4/xlsr_sls_model_v4_kk_spoof_raw_v1/kk-piper-issai-high-v1/0d/0d47bd51a67222d4995693963daa6a8991e3eeb27dfba0e4110a3c1768686186.wav,6be1eef801943f2a9ef7faefae59350c4ecb36a5ef349c9da81718fd2131844f,6.548027210884354,22050,local_cpu_piper,
